team,pos,id,tour,prizepool,place,prizeusd,start,startglicko2mu,startglicko2phi,startglicko2rating,end,endglicko2mu,endglicko2phi,endglicko2rating
ehomek,3,kaidou,Pro Gamer League 2016 (PGL 2016) - Summer,100000,4,0 ,23/07/2016,,,,24/07/2016,,,
ehomek,4,佞臣,Pro Gamer League 2016 (PGL 2016) - Summer,100000,4,0 ,23/07/2016,,,,24/07/2016,,,
ehomek,5,jdh,Pro Gamer League 2016 (PGL 2016) - Summer,100000,4,0 ,23/07/2016,,,,24/07/2016,,,
cdecavenger,1,june,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1751.5203378209806,47.20703729972777,1633.5027445716612,24/07/2016,1751.5203378209806,48.345351127470366,1630.6569600023047
cdecavenger,2,monet,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1751.5203378209806,47.20703729972777,1633.5027445716612,24/07/2016,1751.5203378209806,48.345351127470366,1630.6569600023047
cdecavenger,3,luo,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1751.5203378209806,47.20703729972777,1633.5027445716612,24/07/2016,1751.5203378209806,48.345351127470366,1630.6569600023047
cdecavenger,4,mksos,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1751.5203378209806,47.20703729972777,1633.5027445716612,24/07/2016,1751.5203378209806,48.345351127470366,1630.6569600023047
cdecavenger,5,flyby,Pro Gamer League 2016 (PGL 2016) - Summer,100000,5-8 ,0,23/07/2016,1751.5203378209806,47.20703729972777,1633.5027445716612,24/07/2016,1751.5203378209806,48.345351127470366,1630.6569600023047
og,1,n0tail,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,2018.6361978286009,41.1099614698216,1915.8612941540468,13/08/2016,1992.4887507071846,42.5763884826814,1886.047779500481
og,2,miracle,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,2018.6361978286009,41.1099614698216,1915.8612941540468,13/08/2016,1992.4887507071846,42.5763884826814,1886.047779500481
og,3,moonmeander,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,2018.6361978286009,41.1099614698216,1915.8612941540468,13/08/2016,1992.4887507071846,42.5763884826814,1886.047779500481
og,4,cr1t,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,2018.6361978286009,41.1099614698216,1915.8612941540468,13/08/2016,1992.4887507071846,42.5763884826814,1886.047779500481
og,5,fly,The International 2016,20770460,9-12 ,"311,557 ",02/08/2016,2018.6361978286009,41.1099614698216,1915.8612941540468,13/08/2016,1992.4887507071846,42.5763884826814,1886.047779500481
thewingsgaming,1,shadow haslink,The International 2016,20770460,1 ,"9,139,002 ",02/08/2016,1937.2067048597148,35.38541169451882,1848.7431756234178,13/08/2016,1957.9274830717914,36.3906260266352,1866.9509180052034
thewingsgaming,2,blink,The International 2016,20770460,1 ,"9,139,002 ",02/08/2016,1937.2067048597148,35.38541169451882,1848.7431756234178,13/08/2016,1957.9274830717914,36.3906260266352,1866.9509180052034
thewingsgaming,3,faith_bian,The International 2016,20770460,1 ,"9,139,002 ",02/08/2016,1937.2067048597148,35.38541169451882,1848.7431756234178,13/08/2016,1957.9274830717914,36.3906260266352,1866.9509180052034
