team,pos,id,tour,prizeusd,start,startelo,end,endelo
mousesports,1,black,Curse Dota 2 Invitational,10000,04/05/2013,1102.1908484846444,19/05/2013,1241.5722984887511
mousesports,2,qojqva,Curse Dota 2 Invitational,10000,04/05/2013,1102.1908484846444,19/05/2013,1241.5722984887511
mousesports,3,pas,Curse Dota 2 Invitational,10000,04/05/2013,1102.1908484846444,19/05/2013,1241.5722984887511
mousesports,4,tzar,Curse Dota 2 Invitational,10000,04/05/2013,1102.1908484846444,19/05/2013,1241.5722984887511
mousesports,5,synderen,Curse Dota 2 Invitational,10000,04/05/2013,1102.1908484846444,19/05/2013,1241.5722984887511
natusvincere,1,paris,Curse Dota 2 Invitational,10000,04/05/2013,1227.0111817005213,19/05/2013,1213.4354443255256
natusvincere,2,dendi,Curse Dota 2 Invitational,10000,04/05/2013,1227.0111817005213,19/05/2013,1213.4354443255256
natusvincere,3,funn1k,Curse Dota 2 Invitational,10000,04/05/2013,1227.0111817005213,19/05/2013,1213.4354443255256
natusvincere,4,kuroky,Curse Dota 2 Invitational,10000,04/05/2013,1227.0111817005213,19/05/2013,1213.4354443255256
natusvincere,5,puppey,Curse Dota 2 Invitational,10000,04/05/2013,1227.0111817005213,19/05/2013,1213.4354443255256
qpadredpandas,1,singsing,Curse Dota 2 Invitational,10000,04/05/2013,1080.4521579855316,19/05/2013,984.4132602611656
qpadredpandas,2,select,Curse Dota 2 Invitational,10000,04/05/2013,1080.4521579855316,19/05/2013,984.4132602611656
qpadredpandas,3,wagamama,Curse Dota 2 Invitational,10000,04/05/2013,1080.4521579855316,19/05/2013,984.4132602611656
qpadredpandas,4,mini,Curse Dota 2 Invitational,10000,04/05/2013,1080.4521579855316,19/05/2013,984.4132602611656
qpadredpandas,5,jerax,Curse Dota 2 Invitational,10000,04/05/2013,1080.4521579855316,19/05/2013,984.4132602611656
rox,1,bzzisperfect,Curse Dota 2 Invitational,10000,04/05/2013,,19/05/2013,
rox,2,solo,Curse Dota 2 Invitational,10000,04/05/2013,,19/05/2013,
rox,3,dread,Curse Dota 2 Invitational,10000,04/05/2013,,19/05/2013,
rox,4,yol,Curse Dota 2 Invitational,10000,04/05/2013,,19/05/2013,
rox,5,vanskor,Curse Dota 2 Invitational,10000,04/05/2013,,19/05/2013,
teamdignitas,1,aui_2000,Curse Dota 2 Invitational,10000,04/05/2013,1061.717817649132,19/05/2013,1152.250087045027
teamdignitas,2,sneyking,Curse Dota 2 Invitational,10000,04/05/2013,1061.717817649132,19/05/2013,1152.250087045027
teamdignitas,3,universe,Curse Dota 2 Invitational,10000,04/05/2013,1061.717817649132,19/05/2013,1152.250087045027
teamdignitas,4,fogged,Curse Dota 2 Invitational,10000,04/05/2013,1061.717817649132,19/05/2013,1152.250087045027
teamdignitas,5,waytosexy,Curse Dota 2 Invitational,10000,04/05/2013,1061.717817649132,19/05/2013,1152.250087045027
teamempire,1,blowyourbrain,Curse Dota 2 Invitational,10000,04/05/2013,959.7847944472067,19/05/2013,826.1601503112333
teamempire,2,scandal,Curse Dota 2 Invitational,10000,04/05/2013,959.7847944472067,19/05/2013,826.1601503112333
teamempire,3,lightofheaven,Curse Dota 2 Invitational,10000,04/05/2013,959.7847944472067,19/05/2013,826.1601503112333
teamempire,4,twista,Curse Dota 2 Invitational,10000,04/05/2013,959.7847944472067,19/05/2013,826.1601503112333
teamempire,5,mitch,Curse Dota 2 Invitational,10000,04/05/2013,959.7847944472067,19/05/2013,826.1601503112333
teamliquid,1,tc,Curse Dota 2 Invitational,10000,04/05/2013,1329.3073500574574,19/05/2013,1301.20150195695
teamliquid,2,korok,Curse Dota 2 Invitational,10000,04/05/2013,1329.3073500574574,19/05/2013,1301.20150195695
teamliquid,3,bulba,Curse Dota 2 Invitational,10000,04/05/2013,1329.3073500574574,19/05/2013,1301.20150195695
teamliquid,4,fluffnstuff,Curse Dota 2 Invitational,10000,04/05/2013,1329.3073500574574,19/05/2013,1301.20150195695
teamliquid,5,ixmike88,Curse Dota 2 Invitational,10000,04/05/2013,1329.3073500574574,19/05/2013,1301.20150195695
